Inventory of Planned Generators as of December 2019,,,,,,,,,,,,,,,,,,,,,,
Entity ID,Entity Name,Plant ID,Plant Name,Sector,Plant State,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,County,Latitude,Longitude,Google Map,Bing Map,Balancing Authority Code
60496,Enerparc Inc.,61844,Brush Solar Center,IPP Non-CHP,OR,BRUSH,,2.8,2.8,2.8,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Baker,44.465334,-118.204100,Map,Map,IPCO
60496,Enerparc Inc.,61854,Baker City Solar,IPP Non-CHP,OR,BAKER,,15.0,15.0,15.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Baker,44.702418,-117.763500,Map,Map,IPCO
60496,Enerparc Inc.,61855,Morgan Solar Center,IPP Non-CHP,OR,MORGN,,3.0,3.0,3.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Malheur,43.951376,-117.074800,Map,Map,IPCO
60496,Enerparc Inc.,61856,Vale Solar Center,IPP Non-CHP,OR,VALE,,3.0,3.0,3.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Malheur,44.157874,-117.444300,Map,Map,IPCO
60496,Enerparc Inc.,61860,Ontario Solar Center,IPP Non-CHP,OR,ONTRO,,3.0,3.0,3.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Malheur,44.112841,-117.028100,Map,Map,IPCO
9417,Interstate Power and Light Co,62079,Whispering Willow North,Electric Utility,IA,1,,201.3,201.3,201.3,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Franklin,42.774955,-93.418070,Map,Map,MISO
61194,Generate Capital,62154,Kelly Bridge Road Community Solar Farm,IPP Non-CHP,NY,12,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Sullivan,41.775422,-74.776460,Map,Map,NYIS
61194,Generate Capital,62158,Sacket Lake Rd #1 Community Solar Farm,IPP Non-CHP,NY,11,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Sullivan,41.382510,-74.435260,Map,Map,NYIS
63048,Misae Lessee LLC,62249,Misae Solar,IPP Non-CHP,TX,77777,,240.0,240.0,240.0,Solar Photovoltaic,SUN,PV,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Childress,34.380532,-100.099600,Map,Map,ERCO
60025,Greenbacker Renewable Energy Corporation,62331,Sol Phoenix,IPP Non-CHP,MD,SOLPH,,2.5,2.5,2.5,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Prince Georges,38.850000,-76.950000,Map,Map,PJM
60025,Greenbacker Renewable Energy Corporation,62332,Blue Star,IPP Non-CHP,MD,BLUES,,7.5,7.5,7.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Kent,39.350000,-75.850000,Map,Map,PJM
6452,Florida Power & Light Co,62394,Sweetbay Solar Center,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Martin,27.060112,-80.474490,Map,Map,FPL
61925,"Middlesex-Yates Solar, LLC",62412,Daum Solar,IPP Non-CHP,NY,DAUM,,4.0,4.0,4.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Yates,42.760799,-77.247330,Map,Map,NYIS
61985,Beech Ridge II Wind Energy Center,62482,Beech Ridge II Wind Energy Center,IPP Non-CHP,WV,GEN1,,56.2,56.2,56.2,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Greenbrier,38.112222,-80.613060,Map,Map,PJM
62062,"GD Richmond Buttonwoods I, LLC",62567,"GD Richmond Buttonwoods I, LLC",IPP Non-CHP,RI,GDBUT,,1.3,1.3,1.3,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Washington,41.522911,-71.684090,Map,Map,ISNE
62061,"GD West Greenwich Victory I, LLC",62568,"GD West Greenwich Victory I, LLC",IPP Non-CHP,RI,GDVIC,,1.8,1.8,1.8,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Kent,41.657866,-71.687480,Map,Map,ISNE
62085,Mesquite Star LLC,62587,Mesquite Star,IPP Non-CHP,TX,MESQ,,418.9,418.9,418.9,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Nolan,32.255978,-100.320300,Map,Map,ERCO
62106,Hidalgo Wind Farm II LLC,62618,Hidalgo Wind Farm II,IPP Non-CHP,TX,WT,,50.4,50.4,50.4,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Hidalgo,26.492862,-98.448270,Map,Map,ERCO
6452,Florida Power & Light Co,62631,Blue Heron Solar,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Hendry,26.701639,-81.129160,Map,Map,FPL
6452,Florida Power & Light Co,62632,Cattle Ranch,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",DeSoto,27.321884,-81.809080,Map,Map,FPL
6452,Florida Power & Light Co,62633,Twin Lakes,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Putnam,29.612188,-81.844530,Map,Map,FPL
6452,Florida Power & Light Co,62634,Babcock Preserve,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Charlotte,26.857879,-81.759650,Map,Map,FPL
6452,Florida Power & Light Co,62645,Northern Preserve Solar,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Baker,30.247300,-82.226910,Map,Map,FPL
62128,OEE XXX LLC,62653,Zephyr Wind Project - 2.0,Industrial Non-CHP,OH,T1,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Hancock,41.093078,-83.637780,Map,Map,PJM
62128,OEE XXX LLC,62653,Zephyr Wind Project - 2.0,Industrial Non-CHP,OH,T2,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Hancock,41.093078,-83.637780,Map,Map,PJM
62128,OEE XXX LLC,62653,Zephyr Wind Project - 2.0,Industrial Non-CHP,OH,T3,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Hancock,41.093078,-83.637780,Map,Map,PJM
18454,Tampa Electric Co,62750,Little Manatee River Solar,Electric Utility,FL,GEN1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Hillsborough,27.679868,-82.410640,Map,Map,TEC
62644,OEE XXVIII LLC,62752,LafargeHolcim - Paulding Wind Project,Industrial Non-CHP,OH,L1,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Paulding,41.192377,-84.612560,Map,Map,PJM
62644,OEE XXVIII LLC,62752,LafargeHolcim - Paulding Wind Project,Industrial Non-CHP,OH,L2,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Paulding,41.192377,-84.612560,Map,Map,PJM
62644,OEE XXVIII LLC,62752,LafargeHolcim - Paulding Wind Project,Industrial Non-CHP,OH,L3,,1.5,1.5,1.5,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Paulding,41.192377,-84.612560,Map,Map,PJM
61728,GlidePath Power Operations LLC,62753,Prospect Storage,IPP Non-CHP,TX,BESS,,9.9,9.9,9.9,Batteries,MWH,BA,1,2020,"(TS) Construction complete, but not yet in commercial operation",Brazoria,29.149166,-95.651110,Map,Map,ERCO
60531,Standard Solar,62898,Town of Burrillville Solar,IPP Non-CHP,RI,X0042,,4.2,4.2,4.2,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Providence,41.954239,-71.661200,Map,Map,ISNE
62796,Paulding Wind Farm IV LLC,62944,Timber Road IV,IPP Non-CHP,OH,TRIV,,125.1,125.1,125.1,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Paulding,41.121000,-84.751000,Map,Map,PJM
60146,Ameresco Federal Solutions,62948,NASA Wallops Flight Facility Solar,IPP Non-CHP,VA,CRPT5,,0.1,0.1,0.1,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Accomack,37.938056,-75.473610,Map,Map,PJM
60146,Ameresco Federal Solutions,62948,NASA Wallops Flight Facility Solar,IPP Non-CHP,VA,CRPT6,,0.1,0.1,0.1,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Accomack,37.938056,-75.473610,Map,Map,PJM
60146,Ameresco Federal Solutions,62948,NASA Wallops Flight Facility Solar,IPP Non-CHP,VA,CRPT7,,0.1,0.1,0.1,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Accomack,37.938056,-75.473610,Map,Map,PJM
60146,Ameresco Federal Solutions,62948,NASA Wallops Flight Facility Solar,IPP Non-CHP,VA,TRCK1,,4.0,4.0,4.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Accomack,37.938056,-75.473610,Map,Map,PJM
62801,DG Linden New Jersey LLC,62958,DG Infineum,IPP Non-CHP,NJ,INFNM,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Union,40.640209,-74.234880,Map,Map,PJM
62832,Novel Herber Solar LLC CSG,62966,Novel Herber Solar CSG,IPP Non-CHP,MN,HERB,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Winona,44.106728,-91.887340,Map,Map,MISO
62838,"LSE Dorado, LLC",62992,Goose Pond Solar,IPP Non-CHP,MA,GPNOR,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Hampden,42.007700,-72.780700,Map,Map,ISNE
62838,"LSE Dorado, LLC",62992,Goose Pond Solar,IPP Non-CHP,MA,GPSOU,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Hampden,42.007700,-72.780700,Map,Map,ISNE
12341,MidAmerican Energy Co,63053,Palo Alto Wind Farm,Electric Utility,IA,PAWF,,250.0,250.0,250.0,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Palo Alto,43.122169,-94.330980,Map,Map,MISO
62856,"Forefront Power, LLC",63085,White CSG,IPP Non-CHP,MD,15124,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Baltimore,39.205804,-76.480450,Map,Map,PJM
62856,"Forefront Power, LLC",63107,Howell CSG,IPP Non-CHP,NY,1725,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Orange,41.265258,-74.312980,Map,Map,NYIS
62915,Madison Energy Holdings LLC,63120,Nicollet Community Solar One LLC,IPP Non-CHP,MN,52828,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Nicollet,44.260350,-94.290930,Map,Map,MISO
62906,"Syncarpha Questa I, LLC",63125,Syncarpha Questa,IPP Non-CHP,NM,SYNQU,,1.6,1.6,1.6,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Taos,36.810668,-105.588400,Map,Map,PNM
60531,Standard Solar,63143,USS Greenhouse Solar LLC CSG,IPP Non-CHP,MN,GRHSE,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Goodhue,44.238655,-92.670750,Map,Map,MISO
60531,Standard Solar,63145,USS Cheyenne Solar LLC CSG,IPP Non-CHP,MN,CHYNE,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Chisago,44.848050,-92.918580,Map,Map,MISO
60531,Standard Solar,63146,USS Midtown Solar LLC CSG,IPP Non-CHP,MN,MDTWN,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Stearns,45.671603,-94.748980,Map,Map,MISO
60531,Standard Solar,63147,USS Monarch Solar LLC CSG,IPP Non-CHP,MN,MNRCH,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Pope,45.498960,-95.139790,Map,Map,MISO
56990,NJR Clean Energy Ventures Corporation,63149,Franklin Solar,IPP Non-CHP,NJ,FRANK,,8.8,8.8,8.8,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Warren,40.720000,-75.060000,Map,Map,PJM
56990,NJR Clean Energy Ventures Corporation,63150,Pohatcong Solar Farm,IPP Non-CHP,NJ,POHAT,,8.0,8.0,8.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Warren,40.670000,-75.160000,Map,Map,PJM
61012,AES Distributed Energy,63161,AES Tonawanda Solar LLC,IPP Non-CHP,NY,TNWDA,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Erie,42.997100,-78.901700,Map,Map,NYIS
62964,Prawer Community Solar LLC,63176,Prawer Project CSG,IPP Non-CHP,MN,TC3,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Sherburne,45.463678,-94.045080,Map,Map,MISO
62966,STAG St. Paul Community Solar LLC,63178,STAG St. Paul Project CSG,IPP Non-CHP,MN,TC3,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Dakota,44.885633,-93.026430,Map,Map,MISO
60531,Standard Solar,63224,NY 26 Carthage,IPP Non-CHP,NY,X0140,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Jefferson,43.955471,-75.618070,Map,Map,NYIS
63049,Cannon Garden LLC,63252,Cannon Garden Solar,IPP Non-CHP,MN,CGS,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Rice,44.244160,-93.269160,Map,Map,MISO
58135,Ecos Energy LLC,63263,Plainfield Solar 2,IPP Non-CHP,CT,PLFD2,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Windham,41.679000,-71.905000,Map,Map,ISNE
62971,South Energy Investments LLC,63302,South Windsor Fuel Cell,IPP Non-CHP,CT,SWFC5,,5.0,5.0,5.0,Other Natural Gas,NG,FC,1,2020,"(V) Under construction, more than 50 percent complete",Hartford,41.815417,-72.614380,Map,Map,ISNE
62627,Alchemy Renewable Energy,63330,"Duus Solar, LLC",IPP Non-CHP,OR,ORDUS,,10.0,10.0,10.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Clackamas,45.350000,-122.350000,Map,Map,PGE
62627,Alchemy Renewable Energy,63331,"Firwood Solar, LLC",IPP Non-CHP,OR,ORFWD,,10.0,10.0,10.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Clackamas,45.350000,-122.250000,Map,Map,PGE
63120,"Cubera Solar, LLC",63346,"Cubera Solar, LLC",IPP Non-CHP,NC,PGR06,,2.0,2.0,2.0,Solar Photovoltaic,SUN,PV,1,2020,"(TS) Construction complete, but not yet in commercial operation",Harnett,35.330022,-78.610090,Map,Map,CPLE
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC1,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC2,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC3,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC4,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC5,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
7626,City of Greenfield - (IA),1144,Greenfield,Electric Utility,IA,1,,2.2,2.2,2.2,Petroleum Liquids,DFO,IC,2,2020,"(V) Under construction, more than 50 percent complete",Adair,41.303889,-94.460560,Map,Map,MISO
7626,City of Greenfield - (IA),1144,Greenfield,Electric Utility,IA,2,,2.2,2.2,2.2,Petroleum Liquids,DFO,IC,2,2020,"(V) Under construction, more than 50 percent complete",Adair,41.303889,-94.460560,Map,Map,MISO
54769,INEOS USA LLC,10154,Power Island,Industrial CHP,TX,GEN3,,50.0,50.0,50.0,Natural Gas Fired Combustion Turbine,NG,GT,2,2020,"(V) Under construction, more than 50 percent complete",Brazoria,29.229300,-95.195200,Map,Map,ERCO
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,Industrial CHP,TX,3TBG2,,102.0,97.0,102.0,Natural Gas Fired Combined Cycle,NG,CT,2,2020,"(V) Under construction, more than 50 percent complete",Calhoun,28.691700,-96.541700,Map,Map,ERCO
16657,San Jose/Santa Clara Water P C,56080,SJ/SC WPCP,Commercial CHP,CA,EG4,,3.5,3.5,3.5,Other Waste Biomass,OBG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Santa Clara,37.434400,-121.946400,Map,Map,CISO
16657,San Jose/Santa Clara Water P C,56080,SJ/SC WPCP,Commercial CHP,CA,EG5,,3.5,3.5,3.5,Other Waste Biomass,OBG,IC,2,2020,"(U) Under construction, less than or equal to 50 percent complete",Santa Clara,37.434400,-121.946400,Map,Map,CISO
